product_id,product_name,image_index,image_file
V036B12304,Kitkat-Chocolate Mini Wafer Mocha Fla 11pcs,173,product-173.jpg
V036B12305-1,KITKAT Chocolate Mini Wafer Strawberry Flavor 10pcs,174,product-174.jpg
V036B12301-1,KITKAT Chocolate Mini Wafer Original Flavor 12pcs,175,product-175.jpg
V036B12307,KITKAT Chocolate Mini Wafer Milk Tea Flavor 7pcs,176,product-176.jpg
V036B54102,Bourbon Burger Shaped Chocolatey Filled Cookies,177,product-177.jpg
V036B58103,FUJIYA-Katchkochi Milky Bag,178,product-178.jpg
V036B64103-1,Orion Turtle Chip Choco Churros,179,product-179.jpg
V036B53302,Glico-Bisco L Bag Assorted 2pcs,180,product-180.jpg
V036B64104,Orion Korebob Marine Boy (Seaweed Flavored),181,product-181.jpg
V036B64106,Orion Choco Boy (Twin Pack),182,product-182.jpg
V036B64107-1,Orion FCIO0001 Chocopie,183,product-183.jpg
V036B65301,NS Onion Ring,184,product-184.jpg
V036B65201,NS Honey Twist Snack,185,product-185.jpg
V036B64125,Orion Turtle Chips New Hot Spicy,186,product-186.jpg
V036B64108,Orion Turtle Chips Corn,187,product-187.jpg
V036B64109,Orion Turtle Chips Truffle Salt,188,product-188.jpg
V036B64110,Orion Custard Soft Cake,189,product-189.jpg
V036B64111,Orion Banana Chocopie,190,product-190.jpg
V036B64113,Orion FCIO0177 Turtle Chip Flamin Lime,191,product-191.jpg
V036B64115,Orion FCIO0210 Turtle Chip Seaweed,192,product-192.jpg
V036B64118,Orion FCIO0225 O'Jelly Soft Grape,193,product-193.jpg
V036B64119,Orion FCIO0226 O'Jelly Soft Peach,194,product-194.jpg
V036B64120,Orion FCIO0227 O'Jelly Soft Green Grape,195,product-195.jpg
V036B64122,Orion Turtle Chips Sour Cream and Onion,196,product-196.jpg
V036B64123,Orion FCIO0260 O'Tube Honey Butter,197,product-197.jpg
V036B64124,Orion Turtle Chips Cheese,198,product-198.jpg
V036B65103,NS Shrimp Cracker,199,product-199.jpg
V036B65101,NS Shrimp Cracker (Family Pack),200,product-200.jpg
V036B65102,NS Shrimp Cracker (Hot & Spicy),201,product-201.jpg
B02214,Lay's Potato Chips (Texas Grilled BBQ),202,product-202.jpg
B02220,Lay's Korean Kimchi Flavored Potato Chips,203,product-203.jpg
LS-WAVEPORK-01,Lay's Wave Chips (Imitation Charcoal Grilled Pork Belly),204,product-204.jpg
